order_id,queue_no,customer_name,member_id,menu_name,drink_type,size,topping,sweetness_level,receive_type,payment_method,subtotal,price,wait_minutes,status
15,Q015,นิโคล มั่นคง,M018,เอสเพรสโซ่,ปั่น,S,เจลลี่,25%,ทานที่ร้าน,บัตร,65,61.75,16,เสร็จสิ้น
16,Q016,ลูคัส รุ่งเรือง,,มอคค่า,เย็น,S,เจลลี่,75%,ทานที่ร้าน,QR Code,60,60.0,7,เสร็จสิ้น
17,Q017,อเล็กซ์ วงศ์สว่าง,,เอสเพรสโซ่,ปั่น,M,วิปครีม,100%,ทานที่ร้าน,QR Code,85,85.0,16,เสร็จสิ้น
18,Q018,อเล็กซ์ เจริญพร,,ยูซุโซดา,ร้อน,S,วิปครีม,50%,ทานที่ร้าน,เงินสด,55,55.0,6,เสร็จสิ้น
19,Q019,นิโคล เจริญพร,M035,บลูฮาวายโซดา,ปั่น,M,ไม่มี,100%,กลับบ้าน,บัตร,60,57.0,8,เสร็จสิ้น
20,Q020,คลาร่า มั่นคง,,คาปูชิโน่,ร้อน,S,ไข่มุก,75%,กลับบ้าน,QR Code,55,55.0,8,เสร็จสิ้น
21,Q021,อเล็กซ์ มั่นคง,,อเมริกาโน่,ปั่น,L,ครีมชีส,50%,กลับบ้าน,บัตร,95,95.0,13,เสร็จสิ้น
22,Q022,คลาร่า รุ่งเรือง,,คาปูชิโน่,ร้อน,L,วิปครีม,100%,กลับบ้าน,QR Code,85,85.0,11,เสร็จสิ้น
23,Q023,อเล็กซ์ รักเรียน,,นมสด,ร้อน,L,ไม่มี,75%,ทานที่ร้าน,บัตร,60,60.0,13,เสร็จสิ้น
24,Q024,อเล็กซ์ สายทอง,M012,อเมริกาโน่,เย็น,S,ครีมชีส,100%,ทานที่ร้าน,QR Code,70,66.5,9,เสร็จสิ้น
25,Q025,คลาร่า ใจดี,,ชาไทย,ปั่น,L,วิปครีม,75%,กลับบ้าน,เงินสด,90,90.0,13,เสร็จสิ้น
26,Q026,ลีโอ สายทอง,M041,สตรอว์เบอร์รี่โซดา,ปั่น,M,ครีมชีส,75%,กลับบ้าน,QR Code,80,76.0,8,เสร็จสิ้น
27,Q027,อเล็กซ์ ใจดี,,ช็อกโกแลต,ปั่น,S,ไข่มุก,100%,ทานที่ร้าน,QR Code,65,65.0,12,เสร็จสิ้น
28,Q028,ลีโอ สายทอง,,ยูซุโซดา,ปั่น,S,วิปครีม,100%,กลับบ้าน,บัตร,65,65.0,18,เสร็จสิ้น
29,Q029,อเล็กซ์ สายทอง,M012,บลูฮาวายโซดา,ร้อน,S,ไม่มี,100%,ทานที่ร้าน,บัตร,40,38.0,11,เสร็จสิ้น
30,Q030,มายา เจริญพร,M032,ช็อกโกแลต,ปั่น,S,ครีมชีส,100%,กลับบ้าน,เงินสด,80,76.0,17,เสร็จสิ้น
31,Q031,ลีโอ รักเรียน,M026,นมสด,ร้อน,S,วิปครีม,100%,กลับบ้าน,QR Code,55,52.25,8,เสร็จสิ้น
32,Q032,มายา วงศ์สว่าง,M008,ชาไทย,ปั่น,S,เจลลี่,75%,กลับบ้าน,QR Code,60,57.0,10,เสร็จสิ้น
33,Q033,อเล็กซ์ วงศ์สว่าง,M060,สตรอว์เบอร์รี่โซดา,ร้อน,L,เจลลี่,25%,กลับบ้าน,บัตร,65,61.75,6,เสร็จสิ้น
34,Q034,นิโคล เจริญพร,M035,ยูซุโซดา,ร้อน,S,ครีมชีส,0%,ทานที่ร้าน,QR Code,60,57.0,17,เสร็จสิ้น
35,Q035,ลีโอ วงศ์สว่าง,M037,อเมริกาโน่,เย็น,L,วิปครีม,50%,ทานที่ร้าน,QR Code,85,80.75,9,เสร็จสิ้น
36,Q036,ลีโอ เจริญพร,M039,ชาเขียว,ร้อน,S,เจลลี่,25%,กลับบ้าน,QR Code,50,47.5,8,เสร็จสิ้น
37,Q037,อเล็กซ์ มั่นคง,,ชาเขียว,ร้อน,M,ครีมชีส,50%,ทานที่ร้าน,เงินสด,75,75.0,9,เสร็จสิ้น
38,Q038,มายา วงศ์สว่าง,M006,ยูซุโซดา,เย็น,M,ไข่มุก,50%,กลับบ้าน,เงินสด,60,57.0,9,เสร็จสิ้น
39,Q039,มายา วงศ์สว่าง,M006,ลาเต้,เย็น,L,ไข่มุก,25%,กลับบ้าน,เงินสด,80,76.0,8,เสร็จสิ้น
40,Q040,นิโคล รุ่งเรือง,M001,มัทฉะลาเต้,ร้อน,S,ครีมชีส,100%,กลับบ้าน,บัตร,70,66.5,17,เสร็จสิ้น
41,Q041,เจสซี่ มั่นคง,,ช็อกโกแลต,ปั่น,L,ครีมชีส,100%,ทานที่ร้าน,บัตร,100,100.0,12,เสร็จสิ้น
42,Q042,ลูคัส มั่นคง,M019,ชาเขียว,ปั่น,L,เจลลี่,25%,ทานที่ร้าน,เงินสด,80,76.0,16,เสร็จสิ้น
43,Q043,อเล็กซ์ รุ่งเรือง,M023,นมสด,ร้อน,M,วิปครีม,25%,กลับบ้าน,เงินสด,65,61.75,16,เสร็จสิ้น
44,Q044,มายา สายทอง,M003,สตรอว์เบอร์รี่โซดา,เย็น,M,ไม่มี,25%,กลับบ้าน,เงินสด,55,52.25,14,เสร็จสิ้น
45,Q045,เจสซี่ วงศ์สว่าง,,ยูซุโซดา,ร้อน,S,ไม่มี,25%,กลับบ้าน,QR Code,40,40.0,17,เสร็จสิ้น
46,Q046,คลาร่า มั่นคง,,อเมริกาโน่,ปั่น,M,ไม่มี,75%,ทานที่ร้าน,บัตร,65,65.0,7,เสร็จสิ้น
47,Q047,มายา รักเรียน,M017,นมสด,ปั่น,M,เจลลี่,100%,ทานที่ร้าน,QR Code,65,61.75,4,เสร็จสิ้น
48,Q048,ลูคัส สายทอง,M038,ลาเต้,ร้อน,S,วิปครีม,50%,ทานที่ร้าน,บัตร,65,61.75,2,เสร็จสิ้น
49,Q049,นิโคล รักเรียน,,ยูซุโซดา,ปั่น,L,เจลลี่,75%,กลับบ้าน,เงินสด,75,75.0,3,เสร็จสิ้น
50,Q050,ลีโอ รักเรียน,M026,นมสด,ปั่น,M,ครีมชีส,100%,กลับบ้าน,เงินสด,80,76.0,2,เสร็จสิ้น
51,Q051,คลาร่า ใจดี,,ยูซุโซดา,ร้อน,S,เจลลี่,75%,กลับบ้าน,บัตร,45,45.0,10,เสร็จสิ้น
52,Q052,ลีโอ ใจดี,,อเมริกาโน่,ปั่น,S,วิปครีม,0%,ทานที่ร้าน,QR Code,70,70.0,8,เสร็จสิ้น
53,Q053,ลูคัส สายทอง,M002,ลาเต้,ร้อน,S,ไม่มี,25%,ทานที่ร้าน,บัตร,50,47.5,9,เสร็จสิ้น
54,Q054,เจสซี่ สายทอง,,ลาเต้,ร้อน,S,ครีมชีส,75%,ทานที่ร้าน,เงินสด,70,70.0,16,เสร็จสิ้น
55,Q055,ลูคัส เจริญพร,,ชาไทย,ปั่น,S,ไม่มี,0%,กลับบ้าน,QR Code,55,55.0,2,เสร็จสิ้น
56,Q056,ลูคัส เจริญพร,,อเมริกาโน่,เย็น,M,วิปครีม,25%,กลับบ้าน,บัตร,75,75.0,3,เสร็จสิ้น
57,Q057,ลูคัส มั่นคง,M019,ยูซุโซดา,ร้อน,S,เจลลี่,75%,กลับบ้าน,เงินสด,45,42.75,14,เสร็จสิ้น
58,Q058,ลูคัส วงศ์สว่าง,,เอสเพรสโซ่,ปั่น,M,วิปครีม,25%,ทานที่ร้าน,บัตร,85,85.0,17,เสร็จสิ้น
59,Q059,อเล็กซ์ ใจดี,,สตรอว์เบอร์รี่โซดา,ปั่น,L,เจลลี่,0%,กลับบ้าน,QR Code,75,75.0,10,เสร็จสิ้น
60,Q060,คลาร่า ใจดี,,นมสด,ปั่น,M,เจลลี่,25%,กลับบ้าน,QR Code,65,65.0,11,เสร็จสิ้น
61,Q061,ลูคัส มั่นคง,,ลาเต้,ปั่น,M,วิปครีม,75%,ทานที่ร้าน,บัตร,85,85.0,3,เสร็จสิ้น
62,Q062,เจสซี่ รักเรียน,M027,บลูฮาวายโซดา,เย็น,M,ไม่มี,75%,กลับบ้าน,QR Code,55,52.25,16,เสร็จสิ้น
63,Q063,ลูคัส รักเรียน,,ชาเขียว,เย็น,M,ไม่มี,25%,กลับบ้าน,บัตร,60,60.0,6,เสร็จสิ้น
64,Q064,นิโคล เจริญพร,,สตรอว์เบอร์รี่โซดา,ปั่น,M,ไข่มุก,50%,กลับบ้าน,บัตร,65,65.0,2,เสร็จสิ้น
65,Q065,ลีโอ สายทอง,M059,ยูซุโซดา,เย็น,S,ไข่มุก,50%,ทานที่ร้าน,เงินสด,50,47.5,12,เสร็จสิ้น
66,Q066,ลีโอ เจริญพร,,คาปูชิโน่,เย็น,L,เจลลี่,25%,ทานที่ร้าน,QR Code,80,80.0,14,เสร็จสิ้น
67,Q067,นิโคล มั่นคง,,เอสเพรสโซ่,เย็น,S,ไข่มุก,0%,ทานที่ร้าน,บัตร,60,60.0,18,เสร็จสิ้น
68,Q068,อเล็กซ์ ใจดี,M028,ชาไทย,เย็น,M,ไข่มุก,0%,กลับบ้าน,เงินสด,65,61.75,14,เสร็จสิ้น
69,Q069,ลีโอ สายทอง,M059,สตรอว์เบอร์รี่โซดา,ร้อน,S,เจลลี่,50%,ทานที่ร้าน,เงินสด,45,42.75,14,เสร็จสิ้น
70,Q070,ลูคัส เจริญพร,M049,สตรอว์เบอร์รี่โซดา,ปั่น,M,เจลลี่,50%,ทานที่ร้าน,บัตร,65,61.75,11,เสร็จสิ้น
71,Q071,อเล็กซ์ รุ่งเรือง,,อเมริกาโน่,เย็น,M,ครีมชีส,100%,ทานที่ร้าน,บัตร,80,80.0,2,เสร็จสิ้น
72,Q072,ลูคัส วงศ์สว่าง,,มอคค่า,ร้อน,M,ไข่มุก,75%,ทานที่ร้าน,บัตร,65,65.0,7,เสร็จสิ้น
73,Q073,คลาร่า วงศ์สว่าง,M007,นมสด,ปั่น,M,เจลลี่,75%,ทานที่ร้าน,QR Code,65,61.75,8,เสร็จสิ้น
74,Q074,คลาร่า รุ่งเรือง,M057,สตรอว์เบอร์รี่โซดา,ร้อน,S,ครีมชีส,75%,กลับบ้าน,เงินสด,60,57.0,5,เสร็จสิ้น
75,Q075,มายา เจริญพร,,เอสเพรสโซ่,ปั่น,S,ไม่มี,0%,กลับบ้าน,เงินสด,60,60.0,18,เสร็จสิ้น
76,Q076,ลีโอ รุ่งเรือง,,คาปูชิโน่,เย็น,L,เจลลี่,75%,ทานที่ร้าน,บัตร,80,80.0,4,เสร็จสิ้น
77,Q077,มายา วงศ์สว่าง,M008,ชาไทย,ร้อน,L,วิปครีม,100%,ทานที่ร้าน,QR Code,80,76.0,3,เสร็จสิ้น
78,Q078,เจสซี่ ใจดี,M011,ยูซุโซดา,ร้อน,S,ไข่มุก,100%,ทานที่ร้าน,เงินสด,45,42.75,7,เสร็จสิ้น
79,Q079,เจสซี่ รักเรียน,M058,นมสด,ร้อน,S,ครีมชีส,100%,กลับบ้าน,QR Code,60,57.0,11,เสร็จสิ้น
80,Q080,คลาร่า เจริญพร,,ลาเต้,ร้อน,S,เจลลี่,25%,ทานที่ร้าน,เงินสด,55,55.0,16,เสร็จสิ้น
81,Q081,เจสซี่ เจริญพร,,มัทฉะลาเต้,ร้อน,L,ครีมชีส,50%,ทานที่ร้าน,QR Code,90,90.0,9,เสร็จสิ้น
82,Q082,นิโคล รุ่งเรือง,M055,คาปูชิโน่,ปั่น,M,วิปครีม,100%,ทานที่ร้าน,บัตร,85,80.75,15,เสร็จสิ้น
83,Q083,คลาร่า วงศ์สว่าง,,ชาไทย,ร้อน,M,ไม่มี,50%,ทานที่ร้าน,เงินสด,55,55.0,5,เสร็จสิ้น
84,Q084,เจสซี่ วงศ์สว่าง,,มัทฉะลาเต้,ปั่น,S,ไข่มุก,25%,ทานที่ร้าน,QR Code,65,65.0,14,เสร็จสิ้น
85,Q085,นิโคล มั่นคง,,ยูซุโซดา,เย็น,L,ไม่มี,100%,กลับบ้าน,เงินสด,65,65.0,6,เสร็จสิ้น
86,Q086,เจสซี่ ใจดี,,บลูฮาวายโซดา,ร้อน,S,ไข่มุก,50%,ทานที่ร้าน,QR Code,45,45.0,12,เสร็จสิ้น
87,Q087,มายา ใจดี,,นมสด,ปั่น,S,เจลลี่,25%,กลับบ้าน,บัตร,55,55.0,12,เสร็จสิ้น
88,Q088,คลาร่า วงศ์สว่าง,M044,มอคค่า,เย็น,L,วิปครีม,25%,ทานที่ร้าน,QR Code,90,85.5,11,เสร็จสิ้น
89,Q089,นิโคล เจริญพร,M035,อเมริกาโน่,ปั่น,M,ไม่มี,75%,กลับบ้าน,QR Code,65,61.75,7,เสร็จสิ้น
90,Q090,อเล็กซ์ วงศ์สว่าง,M060,ลาเต้,ร้อน,S,วิปครีม,75%,กลับบ้าน,QR Code,65,61.75,4,เสร็จสิ้น
91,Q091,ลูคัส ใจดี,,ยูซุโซดา,ร้อน,S,ไม่มี,50%,กลับบ้าน,QR Code,40,40.0,7,เสร็จสิ้น
92,Q092,ลีโอ เจริญพร,,นมสด,ปั่น,L,ไม่มี,0%,กลับบ้าน,เงินสด,70,70.0,2,เสร็จสิ้น
93,Q093,มายา เจริญพร,,มอคค่า,ร้อน,S,เจลลี่,75%,กลับบ้าน,เงินสด,55,55.0,4,เสร็จสิ้น
94,Q094,ลีโอ วงศ์สว่าง,M030,มอคค่า,ร้อน,M,วิปครีม,100%,กลับบ้าน,บัตร,75,71.25,13,เสร็จสิ้น
95,Q095,อเล็กซ์ รุ่งเรือง,,นมสด,ร้อน,L,วิปครีม,0%,กลับบ้าน,บัตร,75,75.0,18,เสร็จสิ้น
96,Q096,ลูคัส มั่นคง,M010,ยูซุโซดา,ร้อน,L,ไม่มี,50%,ทานที่ร้าน,QR Code,60,57.0,16,เสร็จสิ้น
97,Q097,คลาร่า มั่นคง,M050,ลาเต้,ร้อน,S,วิปครีม,75%,กลับบ้าน,เงินสด,65,61.75,16,เสร็จสิ้น
98,Q098,มายา วงศ์สว่าง,M006,ยูซุโซดา,ร้อน,M,ไข่มุก,0%,ทานที่ร้าน,เงินสด,55,52.25,18,เสร็จสิ้น
99,Q099,นิโคล รุ่งเรือง,M020,นมสด,ร้อน,S,ครีมชีส,50%,กลับบ้าน,เงินสด,60,57.0,13,เสร็จสิ้น
100,Q100,นิโคล รุ่งเรือง,,มัทฉะลาเต้,ร้อน,S,เจลลี่,25%,กลับบ้าน,เงินสด,55,55.0,8,เสร็จสิ้น
101,Q101,อเล็กซ์ วงศ์สว่าง,,มอคค่า,ร้อน,M,ไข่มุก,100%,ทานที่ร้าน,เงินสด,65,65.0,7,เสร็จสิ้น
102,Q102,นิโคล ใจดี,,บลูฮาวายโซดา,ปั่น,S,ไข่มุก,100%,ทานที่ร้าน,เงินสด,55,55.0,14,เสร็จสิ้น
103,Q103,เจสซี่ ใจดี,,มัทฉะลาเต้,ร้อน,S,เจลลี่,100%,กลับบ้าน,บัตร,55,55.0,8,เสร็จสิ้น
104,Q104,ลีโอ รุ่งเรือง,,ยูซุโซดา,เย็น,S,วิปครีม,75%,กลับบ้าน,เงินสด,60,60.0,9,เสร็จสิ้น
105,Q105,ลีโอ รักเรียน,,มอคค่า,เย็น,M,วิปครีม,50%,ทานที่ร้าน,เงินสด,80,80.0,4,เสร็จสิ้น
106,Q106,มายา มั่นคง,,นมสด,ร้อน,L,วิปครีม,100%,ทานที่ร้าน,เงินสด,75,75.0,16,เสร็จสิ้น
107,Q107,ลีโอ ใจดี,,ชาเขียว,เย็น,S,ไม่มี,0%,กลับบ้าน,QR Code,50,50.0,16,เสร็จสิ้น
108,Q108,คลาร่า ใจดี,,อเมริกาโน่,ร้อน,M,วิปครีม,25%,ทานที่ร้าน,QR Code,70,70.0,18,เสร็จสิ้น
109,Q109,อเล็กซ์ ใจดี,,อเมริกาโน่,เย็น,S,เจลลี่,100%,กลับบ้าน,เงินสด,55,55.0,15,เสร็จสิ้น
110,Q110,นิโคล รุ่งเรือง,M055,มอคค่า,ปั่น,M,ครีมชีส,0%,ทานที่ร้าน,บัตร,90,85.5,14,เสร็จสิ้น
111,Q111,ลูคัส ใจดี,,มอคค่า,ร้อน,M,ไข่มุก,100%,กลับบ้าน,บัตร,65,65.0,3,เสร็จสิ้น
112,Q112,นิโคล รุ่งเรือง,M016,ลาเต้,เย็น,L,ไม่มี,100%,ทานที่ร้าน,QR Code,75,71.25,8,เสร็จสิ้น
113,Q113,เจสซี่ ใจดี,,มัทฉะลาเต้,ร้อน,S,ไม่มี,25%,ทานที่ร้าน,เงินสด,50,50.0,15,เสร็จสิ้น
114,Q114,นิโคล รุ่งเรือง,,อเมริกาโน่,เย็น,M,วิปครีม,25%,กลับบ้าน,QR Code,75,75.0,16,เสร็จสิ้น
115,Q115,อเล็กซ์ ใจดี,,นมสด,ปั่น,M,ครีมชีส,75%,ทานที่ร้าน,QR Code,80,80.0,12,เสร็จสิ้น
116,Q116,นิโคล รุ่งเรือง,M020,มัทฉะลาเต้,เย็น,S,ครีมชีส,0%,กลับบ้าน,บัตร,75,71.25,11,เสร็จสิ้น
117,Q117,อเล็กซ์ ใจดี,,ช็อกโกแลต,ปั่น,M,ไข่มุก,25%,กลับบ้าน,บัตร,75,75.0,4,เสร็จสิ้น
118,Q118,มายา สายทอง,,มัทฉะลาเต้,ปั่น,L,ไม่มี,25%,ทานที่ร้าน,บัตร,80,80.0,8,เสร็จสิ้น
119,Q119,เจสซี่ รักเรียน,M027,ช็อกโกแลต,ปั่น,M,ไข่มุก,0%,กลับบ้าน,บัตร,75,71.25,5,เสร็จสิ้น
120,Q120,ลูคัส มั่นคง,M004,คาปูชิโน่,ร้อน,L,ไม่มี,0%,ทานที่ร้าน,QR Code,70,66.5,13,เสร็จสิ้น
121,Q121,เจสซี่ เจริญพร,,อเมริกาโน่,เย็น,S,ไม่มี,100%,กลับบ้าน,QR Code,50,50.0,4,เสร็จสิ้น
122,Q122,อเล็กซ์ สายทอง,,เอสเพรสโซ่,ร้อน,L,ไม่มี,25%,ทานที่ร้าน,QR Code,70,70.0,17,เสร็จสิ้น
123,Q123,เจสซี่ รักเรียน,M058,สตรอว์เบอร์รี่โซดา,ปั่น,M,เจลลี่,50%,ทานที่ร้าน,QR Code,65,61.75,18,เสร็จสิ้น
124,Q124,อเล็กซ์ ใจดี,,ลาเต้,ร้อน,M,ไข่มุก,100%,กลับบ้าน,QR Code,65,65.0,14,เสร็จสิ้น
125,Q125,ลีโอ วงศ์สว่าง,,บลูฮาวายโซดา,เย็น,S,ไม่มี,25%,กลับบ้าน,เงินสด,45,45.0,10,เสร็จสิ้น
126,Q126,ลูคัส วงศ์สว่าง,,มอคค่า,ร้อน,L,เจลลี่,25%,ทานที่ร้าน,บัตร,75,75.0,14,เสร็จสิ้น
127,Q127,มายา สายทอง,,ลาเต้,ปั่น,M,ครีมชีส,25%,กลับบ้าน,QR Code,90,90.0,6,เสร็จสิ้น
128,Q128,ลีโอ มั่นคง,M036,นมสด,ร้อน,S,ครีมชีส,25%,กลับบ้าน,บัตร,60,57.0,2,เสร็จสิ้น
129,Q129,นิโคล มั่นคง,M018,เอสเพรสโซ่,ร้อน,M,ไข่มุก,0%,ทานที่ร้าน,QR Code,65,61.75,9,เสร็จสิ้น
130,Q130,คลาร่า มั่นคง,M050,ชาไทย,ปั่น,M,ไม่มี,0%,กลับบ้าน,QR Code,65,61.75,6,เสร็จสิ้น
131,Q131,ลูคัส มั่นคง,M019,ชาไทย,ปั่น,M,ไข่มุก,50%,กลับบ้าน,บัตร,70,66.5,11,เสร็จสิ้น
132,Q132,มายา สายทอง,,นมสด,เย็น,M,วิปครีม,50%,กลับบ้าน,เงินสด,70,70.0,18,เสร็จสิ้น
133,Q133,เจสซี่ รุ่งเรือง,M046,ลาเต้,ร้อน,L,วิปครีม,50%,ทานที่ร้าน,เงินสด,85,80.75,2,เสร็จสิ้น
134,Q134,มายา มั่นคง,,คาปูชิโน่,เย็น,M,ครีมชีส,0%,ทานที่ร้าน,QR Code,85,85.0,8,เสร็จสิ้น
135,Q135,เจสซี่ วงศ์สว่าง,,ช็อกโกแลต,เย็น,M,เจลลี่,75%,ทานที่ร้าน,เงินสด,70,70.0,4,เสร็จสิ้น
136,Q136,อเล็กซ์ รุ่งเรือง,,ช็อกโกแลต,ปั่น,S,ครีมชีส,75%,ทานที่ร้าน,QR Code,80,80.0,12,เสร็จสิ้น
137,Q137,ลูคัส สายทอง,,มัทฉะลาเต้,ปั่น,M,ครีมชีส,25%,ทานที่ร้าน,บัตร,90,90.0,17,เสร็จสิ้น
138,Q138,คลาร่า มั่นคง,M050,ช็อกโกแลต,ร้อน,S,เจลลี่,100%,ทานที่ร้าน,บัตร,55,52.25,11,เสร็จสิ้น
139,Q139,คลาร่า มั่นคง,,นมสด,ร้อน,M,ครีมชีส,50%,กลับบ้าน,บัตร,70,70.0,3,เสร็จสิ้น
140,Q140,เจสซี่ รักเรียน,M027,สตรอว์เบอร์รี่โซดา,ร้อน,S,ครีมชีส,100%,ทานที่ร้าน,เงินสด,60,57.0,17,เสร็จสิ้น
141,Q141,เจสซี่ รุ่งเรือง,,มอคค่า,เย็น,S,ไม่มี,0%,กลับบ้าน,บัตร,55,55.0,17,เสร็จสิ้น
142,Q142,ลูคัส มั่นคง,M024,อเมริกาโน่,ปั่น,S,ครีมชีส,0%,กลับบ้าน,เงินสด,75,71.25,15,เสร็จสิ้น
143,Q143,นิโคล รุ่งเรือง,M016,ชาไทย,ปั่น,L,ไม่มี,75%,กลับบ้าน,บัตร,75,71.25,2,เสร็จสิ้น
144,Q144,เจสซี่ ใจดี,M011,อเมริกาโน่,ร้อน,L,ไม่มี,100%,ทานที่ร้าน,QR Code,65,61.75,18,เสร็จสิ้น
145,Q145,ลูคัส สายทอง,M038,ลาเต้,ปั่น,S,เจลลี่,100%,กลับบ้าน,เงินสด,65,61.75,3,เสร็จสิ้น
146,Q146,ลูคัส สายทอง,,ชาเขียว,ร้อน,S,ครีมชีส,100%,กลับบ้าน,QR Code,65,65.0,9,เสร็จสิ้น
147,Q147,คลาร่า วงศ์สว่าง,M056,คาปูชิโน่,ร้อน,S,ไม่มี,50%,กลับบ้าน,QR Code,50,47.5,17,เสร็จสิ้น
148,Q148,มายา ใจดี,,มอคค่า,ร้อน,L,ไม่มี,50%,กลับบ้าน,บัตร,70,70.0,8,เสร็จสิ้น
149,Q149,อเล็กซ์ รุ่งเรือง,,ยูซุโซดา,ปั่น,M,วิปครีม,75%,กลับบ้าน,บัตร,75,75.0,5,เสร็จสิ้น
150,Q150,ลีโอ ใจดี,M054,อเมริกาโน่,เย็น,S,ไม่มี,25%,ทานที่ร้าน,QR Code,50,47.5,13,เสร็จสิ้น
151,Q151,อเล็กซ์ รักเรียน,,เอสเพรสโซ่,ปั่น,M,ครีมชีส,0%,ทานที่ร้าน,บัตร,90,90.0,12,เสร็จสิ้น
152,Q152,ลีโอ รุ่งเรือง,,มอคค่า,เย็น,S,ไข่มุก,0%,ทานที่ร้าน,บัตร,60,60.0,11,เสร็จสิ้น
153,Q153,นิโคล ใจดี,,ชาไทย,ปั่น,S,ไข่มุก,100%,ทานที่ร้าน,เงินสด,60,60.0,4,เสร็จสิ้น
154,Q154,มายา รุ่งเรือง,,มัทฉะลาเต้,เย็น,M,เจลลี่,100%,กลับบ้าน,เงินสด,70,70.0,9,เสร็จสิ้น
155,Q155,ลูคัส รุ่งเรือง,,ช็อกโกแลต,ปั่น,S,ครีมชีส,25%,กลับบ้าน,บัตร,80,80.0,12,เสร็จสิ้น
156,Q156,เจสซี่ เจริญพร,,ช็อกโกแลต,ร้อน,L,ไข่มุก,100%,กลับบ้าน,เงินสด,75,75.0,15,เสร็จสิ้น
157,Q157,ลีโอ รักเรียน,M022,ชาเขียว,ร้อน,L,เจลลี่,0%,กลับบ้าน,เงินสด,70,66.5,18,เสร็จสิ้น
158,Q158,นิโคล เจริญพร,M009,สตรอว์เบอร์รี่โซดา,ร้อน,M,ไม่มี,100%,ทานที่ร้าน,บัตร,50,47.5,6,เสร็จสิ้น
159,Q159,ลีโอ เจริญพร,,สตรอว์เบอร์รี่โซดา,ปั่น,S,ไข่มุก,100%,กลับบ้าน,บัตร,55,55.0,12,เสร็จสิ้น
160,Q160,ลีโอ สายทอง,M059,บลูฮาวายโซดา,เย็น,L,เจลลี่,75%,กลับบ้าน,เงินสด,70,66.5,16,เสร็จสิ้น
161,Q161,เจสซี่ เจริญพร,,มอคค่า,ร้อน,M,ครีมชีส,100%,กลับบ้าน,เงินสด,80,80.0,15,เสร็จสิ้น
162,Q162,ลูคัส รักเรียน,,บลูฮาวายโซดา,เย็น,L,วิปครีม,0%,ทานที่ร้าน,บัตร,80,80.0,9,เสร็จสิ้น
163,Q163,อเล็กซ์ ใจดี,,บลูฮาวายโซดา,เย็น,M,วิปครีม,75%,ทานที่ร้าน,QR Code,70,70.0,8,เสร็จสิ้น
164,Q164,ลีโอ สายทอง,,บลูฮาวายโซดา,ร้อน,S,วิปครีม,25%,กลับบ้าน,เงินสด,55,55.0,8,เสร็จสิ้น
